id,budget,production_companies,production_countries,revenue,spoken_languages,genres,runtime,tagline,crew,cast-name
929590,50000000,"['DNA Films', 'IPR.VC', 'A24']","['Finland', 'United Kingdom', 'United States of America']",113911713,['English'],"['War', 'Action', 'Drama']",109,Welcome to the frontline.,"{'Producer': 'Gregory Goodman', 'Director': 'Alex Garland', 'Director of Photography': 'Rob Hardy', 'Editor': 'Jake Roberts', 'Production Design': 'Caty Maxey', 'Art Direction': 'Jason Vigdor', 'Set Decoration': 'Darby Abraham', 'Costume Design': 'Meghan Kasperlik', 'Key Makeup Artist': 'Deena Adair', 'Makeup Artist': 'Carla Wallace', 'Hairstylist': 'Crystal Broedel', 'Makeup Department Head': 'Ashley Levy', 'Hair Department Head': 'Amy Wood', 'Special Effects Coordinator': 'Lee Alan McConnell', 'Special Effects Supervisor': 'J.D. Schwalm', 'Pyrotechnician': 'Mike Prawitz', 'Visual Effects Producer': 'Austin Aplin', 'Stunt Coordinator': 'Jeffrey J. Dashnaw', 'Stunt Double': 'Crystal Hooks', 'Stunts': 'Branden Arnold', 'ADR Recordist': 'Jennie Breckenridge', 'Foley Editor': 'Robby Brown', 'Foley Artist': 'Rebecca Heathcote', 'Sound Effects Editor': 'Robert Malone', 'Supervising Sound Editor': 'Ben Barker', 'Sound Designer': 'Glenn Freemantle', 'Foley Mixer': 'Glen Gathard', 'Dialogue Editor': 'Ian Morgan', 'ADR Mixer': 'Chris Navarro', 'Costume Supervisor': 'Stephanie Logan', 'Best Boy Grip': 'Richard Arnold', 'Lighting Technician': 'Dehaven Moore', 'Electrician': 'Terrance Smalls', 'Dolly Grip': 'Mike Flores', '""B"" Camera Operator': 'Hugh Braselton', 'Grip': 'Logan Russell', 'Still Photographer': 'Murray Close', 'Rigging Grip': 'Rick Turner', 'Rigging Gaffer': 'Brian Dennis', 'Video Assist Operator': 'Adam Meadows', '""C"" Camera Operator': 'Chris DuMont', 'Aerial Director of Photography': 'Dylan Goss', 'First Assistant ""B"" Camera': 'Daniel Guadalupe', 'Second Assistant ""C"" Camera': 'Grayson Guldenschuh', 'Second Assistant ""A"" Camera': 'Matthew Haskins', 'Gaffer': 'Todd Heater', 'Additional Grip': 'Mat Irby', 'Camera Technician': 'Breona Jones', 'First Assistant Camera': 'Jason Lancour', 'Drone Pilot': 'Louie Northern', 'Key Grip': 'Mackie Roberts', 'Focus Puller': 'Don Steinberg', 'Camera Operator': 'David J. Thompson', 'Assistant Chief Lighting Technician': 'Jeff Wallace', 'Casting Assistant': 'Jakaila Langston', 'Extras Casting': 'Laura Mengoni', 'Set Costumer': 'Benj Gibicsar', 'Costumer': 'Emily Good', 'Costume Coordinator': 'Kassia Dombroski', 'Assistant Costume Designer': 'Jennifer Hryniw', 'Tailor': 'Jared B. Leese', 'Dailies Operator': 'Noah Rodden', 'First Assistant Editor': 'Jens Baylis', 'Digital Intermediate': 'Johnathan Wei Dickinson', 'Online Editor': 'Gareth Parry', 'Digital Intermediate Producer': 'Alan Pritt', 'Assistant Editor': 'Saffron Weaver', 'Digital Intermediate Colorist': 'Asa Shoul', 'Location Production Assistant': 'Austin Armstrong', 'Location Scout': 'Andrew Devlin', 'Location Assistant': 'Alex Olino', 'Assistant Location Manager': 'Michael Woodruff', 'Location Manager': 'Kellie Morrison', 'Location Coordinator': 'Daniel Sortet', 'Music Supervisor': 'Simon Astall', 'Music Editor': 'Rachel Park', 'Script Supervisor': 'Amber Harley', 'Key Hair Stylist': 'Deena Adair', 'Post Production Consulting': 'Clare St. John', 'Unit Production Manager': 'Kenneth Yu', 'Second Assistant Director': 'Craig Comstock', 'Production Assistant': 'Margaret Moore', 'First Assistant Director': 'Eric Heffron', 'Second Second Assistant Director': 'Gregory Santoro', 'Scenic Artist': 'Suzanne Bonanno', 'Set Dresser': 'Zack Timms', 'Assistant Property Master': 'Lawson Bruen', 'Construction Coordinator': 'Christopher Ferris', 'Leadman': 'Nelson Hagood', 'Props': 'Kelly Harrell', 'Art Department Assistant': 'Madelyn Kahn', 'Art Department Coordinator': 'Pike Kanjanampa', 'Armorer': 'Dan Riker', 'Assistant Art Director': 'Brynna Norvell', 'Storyboard Artist': 'Jim Magdaleno', 'Property Master': 'John Sanders', 'On Set Dresser': 'Brian Calvin Smith', 'Set Designer': 'Willow Watson', 'Supervising Dialogue Editor': 'Gillian Dodders', 'ADR Editor': 'Gillian Dodders', 'Driver': 'Charles Skip McCoy', 'Transportation Coordinator': 'Huelon F. Thrift Jr.', 'Post Production Accountant': 'Tarn Harper', 'Assistant Production Coordinator': 'Jenny Kissoon', 'Production Secretary': 'Josh Melo', 'Production Coordinator': 'Marjorie Rudick', 'Writer': 'Alex Garland', 'Title Designer': 'Matt Curtis', 'Military Consultant': 'Ray Mendoza', 'Original Music Composer': 'Ben Salisbury', 'Executive Producer': 'Timo Argillander', 'Special Effects Technician': 'Frederick Mac Browne', 'VFX Artist': 'Artem Smirnov', 'Visual Effects Supervisor': 'David Simpson', 'Casting': 'Francine Maisler', 'Technical Advisor': 'Ray Mendoza', 'Additional Second Assistant Director': 'Alex Martini', 'Executive In Charge Of Production': 'Corey Deckler'}","['Kirsten Dunst', 'Wagner Moura', 'Cailee Spaeny', 'Stephen McKinley Henderson', 'Nelson Lee', 'Nick Offerman', 'Jefferson White', 'Evan Lai', 'Vince Pisani', 'Justin James Boykin', 'Jess Matney', 'Greg Hill', 'Edmund Donovan', 'Sonoya Mizuno', 'Tim James', 'Simeon Freeman', 'James Yaegashi', 'Dean Grimes', 'Alexa Mansour', 'Martha B. Knighton', 'Melissa Saint-Amand', 'Karl Glusman', 'Jin Ha', 'Jojo T. Gibbs', 'Jared Shaw', 'Justin Garza', 'Brian Philpot', 'Tywaun Tornes', 'Juani Feliz', 'Jesse Plemons', 'Jeff Bosley', 'Ryan Austin Bryant', 'Brent Moorer Gaskins', 'Evan Holtzman', 'Cora Maple Lindell', 'Temper Lavigne', 'Miles Johnson', 'Kevin Kedgley', 'Timothy LaForce', 'Randy S. Love', 'Cody Marshall', 'LePrix Robinson', 'Easy Ian Radcliffe', ""Ernest 'Scooby' Rogers"", 'Daniel Patrick Shook', 'Vinnie Varon', 'Jaclyn White', 'Robert Tinsley']"
786892,168000000,"['Warner Bros. Pictures', 'Kennedy Miller Mitchell', 'Domain Entertainment', 'Korean studio feature films']","['South Korea', 'United States of America', 'Australia']",74767619,['English'],"['Action', 'Adventure', 'Science Fiction']",149,Fury is born.,"{'Director': 'George Miller', 'Producer': 'Doug Mitchell', 'Original Music Composer': 'Tom Holkenborg', 'Director of Photography': 'Simon Duggan', 'Visual Effects': 'Diego O. Gonzalez', 'Writer': 'Nico Lathouris', 'First Assistant Director': 'P.J. Voeten', 'Second Unit Director': 'Guy Norris', 'Stunt Coordinator': 'Jacob Tomuri', 'Sound Designer': 'James Ashton', 'Editor': 'Margaret Sixel', 'Visual Effects Supervisor': 'Andrew Jackson', 'Colorist': 'Eric Whipp', 'Production Design': 'Colin Gibson', 'Costume Design': 'Jenny Beavan', 'Stunt Double': 'Chong Wei Zhang', 'Fight Choreographer': 'Richard Norton', 'Stunts': 'Jacob Tomuri', 'Boom Operator': 'James Nowiczewski', 'Sound Re-Recording Mixer': 'Jessica Meier', 'Foley Mixer': 'Duncan Campbell', 'First Assistant Sound Editor': 'Sue Kerr', 'Sound Effects Editor': 'Tara Webb', 'Foley Artist': 'Adrian Medhurst', 'Assistant Dialogue Editor': 'Marisa Marsionis', 'Sound Editor': 'Jessica Meier', 'Production Sound Mixer': 'Ben Osmo', 'Sound Assistant': 'Claire Read', 'ADR Mixer': 'Angus Robertson', 'Second Assistant Sound': 'Michal Zoltkowski', 'Associate Producer': 'Rachael Gill', 'Executive Producer': 'Andrew Lary', 'Executive In Charge Of Production': 'Mark Scoon', 'Casting': 'Nikki Barrett', 'Art Direction': 'Jacinta Leong', 'Set Decoration': 'Katie Sharrock', 'Supervising Art Director': 'Sophie Nash', 'Conceptual Design': 'Shane Baxley', 'Set Designer': 'Mackenzie Platt', 'On Set Dresser': 'Mark Harman', 'Construction Foreman': 'Darren Fieldhouse', 'Painter': 'Aaron Jordin', 'Construction Coordinator': 'Greg Hajdu', 'Concept Artist': 'Kevin Silva', 'Prop Maker': 'Meg Hamilton', 'Assistant Art Director': 'Kate Rawlins', 'Property Master': 'Joanna Pullen', 'Storyboard Artist': 'Mark Sexton', 'Carpenter': 'Phillip Telford', 'Props': ""Tyler O'B Wallis"", 'Set Dresser': 'Lucy Wyborn'}","['Anya Taylor-Joy', 'Chris Hemsworth', 'Tom Burke', 'Alyla Browne', 'George Shevtsov', 'Lachy Hulme', 'John Howard', 'Charlee Fraser', 'Angus Sampson', 'Nathan Jones', 'Elsa Pataky', 'Josh Helman', 'David Field', 'Rahel Romahn', 'David Collins', 'Goran D. Kleut', 'CJ. Bloomfield', 'Matuse Paz', 'Ian Roberts', 'Guy Spence', 'Robert Jones', 'Clarence John Ryan', 'Tim Burns', 'Tim Rogers', 'Florence Mezzara', 'Quaden Bayles', 'Peter Stephens', 'Sean Millis', 'Lee Perry', 'Dylan Adonis', 'David Barnett', 'Anna Adams', 'Peter Sammak', 'Shea Adams', 'Josh Randall', 'Karl Van Moorsel', 'Dawn Klingberg', 'Richard Norton', 'Stephen Amadasun', 'Nick Annas', 'Ripley Voeten', 'Matthew Van Leeve', 'Shane Dundas', 'Jamie Cluff', 'Adam Thompson', 'Shyan Tonga', 'Nellie Collins', 'Adam Washbourne', 'James Corcoran', 'Sasa Vitanovic', 'Tige Sixel Miller', 'Justice Jones', 'Maleeka Gasbarri', 'Keza Ishimwe', 'Nat Buchanan', 'Jacob Tomuri', 'Mark Wales', 'Bryan Probets', 'Danny Lim', 'Darcy Bryce', 'Chudier Gatwech', 'Shivantha Wijesinha', 'Spencer Connelly', 'Ben Smith-Petersen', 'Toby Fuller', 'Jayden Irving', 'Jesse Turner', 'Jon Iles', 'Harrison Norris', 'Ash Hodgkinson', 'Sean Renfrey', 'Iota', 'Xanthia Marinelli', 'Alex Time', 'Daniel Webber', 'Yeye Zhou', 'Nikos Andronicos', 'Kelli Bailey', 'Marcia Coronado', 'Matt De Souza', 'Hiroshi Kasuga', 'Shakriya Tarinyawat', 'Chong Wei Zhang']"
748783,60000000,"['Alcon Entertainment', 'Prime Focus', 'DNEG Animation', 'Columbia Pictures', 'Wayfarer Studios', 'Stage 6 Films', 'One Cool Group', 'Andrews McMeel Entertainment']","['Hong Kong', 'India', 'United Kingdom', 'United States of America']",107905136,['English'],"['Animation', 'Comedy', 'Family', 'Adventure']",101,Indoor cat. Outdoor adventure.,"{'Storyboard Artist': 'Bob Scott', 'Production Accountant': 'Mark Swenson', 'Screenplay': 'Paul A. Kaplan', 'Executive Producer': 'Crosby Clyse', 'Producer': 'Craig Sost', 'Production Manager': 'Kristen Caplan', 'Director': 'Mark Dindal', 'Editor': 'Mark Keefer', 'Characters': 'Jim Davis', 'Researcher': 'Daniela Kriston', 'In Memory Of': 'Adam Collins', 'Original Music Composer': 'John Debney', 'Animation Director': 'Jason Boose', 'Visual Effects Supervisor': 'Freddy Chaleur', 'Supervising Sound Editor': 'Ben Meechan', 'Sound Designer': 'Jeremy Price', 'Sound Re-Recording Mixer': 'Johnathan Rush', 'Casting': 'Monika Mikkelsen', 'Songs': 'Jon Batiste', 'Co-Producer': 'William Li', 'Executive Music Producer': 'Michael Hodges', 'Production Design': 'Pete Oswald', 'Digital Producer': 'Michelle Smith', 'Art Direction': 'Jeanie Chang', 'Additional Writing': 'Gene Stupnitsky', 'Foley Artist': 'Erik S. Watland', 'Character Designer': 'Alishea Gibson', 'Associate Producer': 'Meng Li', 'Thanks': 'Cassie Underwood', 'Conductor': 'Mark Graham', 'Orchestrator': 'Roger Julia Satorra', 'Music Editor': 'Phoebe Workman', 'Sound Editor': 'Jim Harrison', 'Sound Effects Editor': 'Jacob Stripp', 'Dialogue Editor': 'Alex Symeonides', 'Assistant Sound Editor': 'Dan Haney', 'Foley Supervisor': 'Baard H. Ingebretsen', 'Foley Recordist': 'Baard H. Ingebretsen', 'Foley Editor': 'Boris Parunov', 'Visual Development': 'Katy Wu'}","['Chris Pratt', 'Samuel L. Jackson', 'Hannah Waddingham', 'Ving Rhames', 'Nicholas Hoult', 'Cecily Strong', 'Harvey Guillén', 'Brett Goldstein', 'Bowen Yang', 'Snoop Dogg', 'Janelle James', 'Angus Cloud', 'Jeff Foxworthy', 'Eugenia Caruso', 'Luke Cinque-White', 'Dev Joshi', 'Chana Keefer', 'Mark Keefer', 'Edward VL Montgomery', 'Mark Dindal', 'Cameron Bernard Jones', 'Darren Foreman', 'Timothy Quinlan', 'Matt Rippy', 'Alicia Grace Turrell', 'Eric Loren', 'Melli Bond', 'Lynsey Murrell', 'Amelia Sciandra', 'Jennifer Woodward', 'Hannah Felix']"
1022789,0,"['Pixar', 'Walt Disney Pictures']",['United States of America'],0,['English'],"['Animation', 'Family', 'Drama', 'Adventure', 'Fantasy']",96,Make room for new emotions.,"{'Director': 'Kelsey Mann', 'Producer': 'Mark Nielsen', 'Executive Producer': 'Dan Scanlon', 'Animation Supervisor': 'Michael Venturini', 'Story Supervisor': 'John Hoffman', 'Production Design': 'Jason Deamer', 'Editor': 'Maurissa Horwitz', 'Visual Effects Supervisor': 'Sudeep Rangaswamy', 'Director of Photography': 'Jonathan Pytko', 'Original Music Composer': 'Andrea Datzman', 'Supervising Sound Editor': 'Coya Elliott', 'Sound Re-Recording Mixer': 'Stephen Urata', 'Associate Producer': 'Kim Collins', 'Screenplay': 'Dave Holstein', 'Story': 'Meg LeFauve', 'Casting': 'Kate Hansen-Birnbaum', 'Music': 'Michael Giacchino', 'Additional Writing': 'Ronnie del Carmen'}","['Amy Poehler', 'Maya Hawke', 'Kensington Tallman', 'Liza Lapira', 'Tony Hale', 'Lewis Black', 'Phyllis Smith', 'Ayo Edebiri', 'Lilimar', 'Grace Lu', 'Sumayyah Nuriddin-Green', 'Adèle Exarchopoulos', 'Diane Lane', 'Kyle MacLachlan', 'Paul Walter Hauser', 'Yvette Nicole Brown', 'Ron Funches', 'James Austin Johnson', 'Yong Yea', 'Steve Purcell', 'Dave Goelz', 'Kirk R. Thatcher', 'Frank Oz', 'Paula Pell', 'June Squibb', 'Paula Poundstone', 'John Ratzenberger', 'Sarayu Blue', 'Flea', 'Bobby Moynihan', 'Kendall Coyne Schofield']"
937287,55000000,"['Pascal Pictures', 'Why Are You Acting? Productions', 'Frenesy Film', 'Metro-Goldwyn-Mayer']","['Italy', 'United States of America']",79877397,"['English', 'Romanian']","['Romance', 'Drama']",132,Her game. Her rules.,"{'Director': 'Luca Guadagnino', 'Producer': 'Zendaya', 'Original Music Composer': 'Atticus Ross', 'ADR Recordist': 'Jennie Shea', 'Director of Photography': 'Sayombhu Mukdeeprom', 'Editor': 'Marco Costa', 'Production Design': 'Merissa Lombardo', 'Art Direction': 'Jasmine Cho', 'Supervising Art Director': 'Matthew Gatlin', 'Set Decoration': 'Jess Royal', 'Costume Design': 'Jonathan Anderson', 'Makeup Artist': 'Cheryl Vernae Williams', 'Additional Hairstylist': 'Rebecca Serra', 'Hairstylist': 'Kimberly Kimble', 'Makeup Designer': 'Fernanda Perez', 'Second Assistant Director': 'Valentina de Amicis', 'Second Second Assistant Director': 'Kit Conners', 'First Assistant Director': 'Kim H. Winther', 'Set Dresser': 'John Pungitore', 'Assistant Art Director': 'E. David Cosier', 'Set Decoration Buyer': 'Mary-Ling Gregory', 'Assistant Set Decoration': 'Jennifer LaFace', 'Set Designer': 'Tom Wagman', 'Supervising Sound Editor': 'Craig Berkey', 'Sound Re-Recording Mixer': 'Paul Carter', 'Sound Designer': 'Paul Carter', 'Dialogue Editor': 'Davide Favargiotti', 'Boom Operator': 'Eva Rismanforoush', 'Sound Mixer': 'Lisa Pinero', 'ADR Mixer': 'Adam Pleiman', 'Production Sound Mixer': 'Thomas Varga', 'Utility Sound': 'Karl Wasserman', 'Special Effects Technician': 'Joseph Jarzobski', 'Special Effects Coordinator': 'Juliana Lima', 'Special Effects Supervisor': 'John Ruggieri', 'Stunt Coordinator': 'John Vincent Mason', 'Visual Effects Producer': 'Swapnil Kharche', 'Visual Effects Editor': 'Jesse Cook III', 'Digital Compositor': 'Diego Di Paola', 'Visual Effects Supervisor': 'Riaz Patel', 'First Assistant ""C"" Camera': 'Julian Collazo Bass', '""A"" Camera Operator': 'Bianca Butti', 'Lighting Technician': 'Evan Aurelio', 'Second Assistant ""C"" Camera': 'Eddie K. Goldblatt', 'Camera Operator': 'Terrence Hayes', 'Second Assistant Camera': 'Matt Hedges', 'Grip': 'John McNeill', 'Drone Operator': 'Steve Koster', 'Gaffer': 'Steve Ramsey', 'Best Boy Grip': 'Dave Scranton', 'Extras Casting': 'Matt Bouldry', 'ADR Voice Casting': 'Bruce Winant', 'Costumer': 'Sean Haley', 'Key Costumer': 'Gina G. Aller', 'Costume Supervisor': 'Nava R. Sadan', 'Set Costumer': 'Howard Steeves', 'Executive Producer': 'Lorenzo Mieli', 'Screenplay': 'Justin Kuritzkes', 'Visual Effects': 'John Allegretti', 'Casting': 'Francine Maisler', 'Hair Designer': 'Massimo Gattabrusi', 'Hair Department Head': 'Amber Voner', 'VFX Artist': 'David V. Mei', 'Drone Cinematographer': 'Steve Koster', 'Casting Associate': 'Molly Rose', 'Main Title Designer': 'Matt Curtis', 'Foley Recordist': 'Kevin Jung', 'Prosthetic Designer': 'Howard Berger', 'Prosthetic Makeup Artist': 'Kevin Wasner', 'Unit Production Manager': 'Bernard Bellew', 'Production Supervisor': 'Rebecca R. Ryan', 'Assistant Production Manager': 'Gianmarco Necchi', 'Additional Second Assistant Director': 'Rachel Sikora', 'Third Assistant Director': 'Elisa Perini', 'Graphic Designer': 'Michael Helou', 'On Set Dresser': 'Shadya H. Ballug', 'Props': 'Kelly Walton', 'Concept Artist': 'Jaf Farkas', 'Set Decorating Coordinator': 'K. Claire Harrison', 'Assistant Property Master': ""Deneice O'Connor"", 'Property Master': 'Matt Marks', 'Propmaker': 'Kenrick McDonald', 'Construction Buyer': 'Katrina Morgan', 'Construction Coordinator': 'Scott T. Pina', 'Art Department Coordinator': 'Chris Sullivan', 'Charge Scenic Artist': 'David Rickson', 'Associate Producer': 'Darnell Appling', 'Rigging Grip': 'Andrew Ox Wortman', 'Electrician': 'Derek Whitaker', 'Epk Camera Operator': 'Caleb Holland', 'Online Editor': 'Michele De Angelis', 'Colorist': 'Claudio Del Bravo', 'Assistant Editor': 'Anna Hovhannessian', 'First Assistant Editor': 'Jacopo Ramella Pajrin', 'Assistant Location Manager': 'Jeremy Fiske', 'Location Manager': 'Anthony Pisani', 'Location Scout': 'Gahan Haskins', 'Music Editor': ""Roberta D'Angelo"", 'Music Coordinator': 'Liesl Takeuchi', 'Music Supervisor': 'Robin Urdang', 'Script Supervisor': 'Chiara Gherarducci'}","['Zendaya', 'Mike Faist', ""Josh O'Connor"", 'Darnell Appling', 'Bryan Doo', 'Shane T Harris', 'Nada Despotovich', 'Joan Mcshane', 'Chris Fowler', 'Mary Joe Fernández', 'A.J. Lister', 'Connor Aulson', 'Doria Bramante', 'Christine Dye', 'James Sylva', 'Kenneth A. Osherow', 'Kevin Collins', 'Burgess Byrd', 'Jason Tong', 'Hudson Rivera', 'Noah Eisenberg', 'Emma Davis', 'Naheem Garcia', 'Alex Bancila', 'Jake Jensen', 'Konrad Ryba', 'Hailey Gates', 'Andrew Rogers', 'Beverly Kristenson Helton', 'Brad Gilbert', 'Sam Xu', 'Caleb Schneider']"
1093995,0,"['Bee Holder Productions', 'Concourse Media', 'Ashland Hill Media Finance', 'TDP FILMS', 'Filmology Finance', 'Tip-Top Productions', 'Mirror Productions']",['United States of America'],0,['English'],"['Action', 'Thriller']",0,Revenge knows no limits.,"{'Director': 'Jesse V. Johnson', 'Writer': 'George Mahaffey', 'Executive Producer': 'Jordan Wagner', 'Co-Producer': 'Evangelo Kioussis', 'Producer': 'Simon Williams', 'Co-Executive Producer': 'Aram Rappaport', 'Music': 'Sean Murray', 'Cinematography': 'Jonathan Hall', 'Editor': 'Matthew Lorentz', 'Production Design': 'Joseph C. Nemec III'}","['Aaron Eckhart', 'Alex Pettyfer', 'Olga Kurylenko', 'Laëtitia Eïdo', 'Daniel Bernhardt', 'Chris Petrovski', 'Nina Bergman', 'Kris Johnson', 'Jonathan Ajayi', 'Isobel Wood', 'Bleona', 'Josef Cannon']"
1087388,0,"['See Pictures', 'Align', 'Pictures in Paradise', 'Screen Australia', 'Cumulus VFX', 'Spectrum Films', 'Well Go USA Entertainment', 'Screen NSW']","['Australia', 'United States of America']",1090798,['English'],"['Horror', 'Thriller']",91,Your biggest fear just got bigger.,"{'Director': 'Kiah Roache-Turner', 'Writer': 'Kiah Roache-Turner', 'Producer': 'Chris Brown', 'Executive Producer': 'Sierra Garcia', 'Director of Photography': 'Brad Shield', 'Editor': 'Luke Doolan', 'Production Design': 'Fiona Donovan', 'Set Decoration': 'Diana Robertson', 'Original Music Composer': 'Anna Drubich', 'Casting': 'Nikki Barrett', 'Line Producer': 'Lesley Parker', 'Makeup Designer': 'John Logue', 'Hair Designer': 'John Logue', 'Costume Design': 'Georgia Woods', 'Visual Effects Supervisor': 'William Gammon', 'Sound Supervisor': 'Sam Gain-Emery', 'Music Supervisor': 'Rupert Hollier'}","['Alyla Browne', 'Ryan Corr', 'Penelope Mitchell', 'Robyn Nevin', 'Noni Hazlehurst', 'Silvia Colloca', 'Danny Kim', 'Jermaine Fowler', 'Tony J. Black', 'Alcira Carpio', 'Kate Walsh', 'Lee Perry', 'Jett Berry', 'Kade Berry']"
639720,110000000,"['Paramount', 'Sunday Night', 'Maximum Effort']",['United States of America'],112488950,['English'],"['Comedy', 'Fantasy', 'Family']",104,A story you have to believe to see.,"{'Director': 'John Krasinski', 'Writer': 'John Krasinski', 'Producer': 'Ryan Reynolds', 'Executive Producer': 'Kimberly Nelson LoCascio', 'Director of Photography': 'Janusz Kamiński', 'Original Music Composer': 'Michael Giacchino', 'Editor': 'Andy Canny', 'Production Design': 'Jess Gonchor', 'In Memory Of': 'Louis Gossett Jr.', 'Casting': 'Jennifer L. Smith', 'Choreographer': 'Mandy Moore', 'Co-Producer': 'Michael Lerman', 'Costume Design': 'Jenny Eagan', 'Animation Supervisor': 'Arslan Elver', 'Visual Effects Supervisor': 'Craig Crawford', 'First Assistant Director': 'Michael Lerman', 'Second Assistant Director': 'Woodrow Travers', 'Unit Production Manager': 'John J. Kelly', 'Stunt Coordinator': 'Mike Gunther', 'Supervising Sound Editor': 'Erik Aadahl', 'Sound Re-Recording Mixer': 'Lee Salevan', 'Associate Producer': 'Lori Scowley', 'Production Controller': 'Lori Scowley', 'Supervising Art Director': 'Christopher J. Morris', 'Set Decoration': 'Kris Moran', 'Art Direction': 'Zack Gonchor', 'Set Designer': 'Adam Mull', 'Assistant Set Decoration': 'Ashley Wellbrock', 'Leadman': 'Timothy Metzger', '""A"" Camera Operator': 'Matthew Moriarty', 'Steadicam Operator': 'Matthew Moriarty', '""B"" Camera Operator': 'Connie Huang', 'Digital Imaging Technician': 'Lonny Danler', 'Underwater Camera': 'Sean P. Gilbert', 'Second Unit Director of Photography': 'Meg Kettell', 'Script Supervisor': 'Brooke Satrazemis', 'Additional Editing': 'Jay Rabinowitz', 'First Assistant Editor': 'Mark Fitzgerald', 'Assistant Editor': 'Bryce Madden', 'Visual Effects Editor': 'Jordan Lindblad', 'Post Production Supervisor': 'Chris Clemente', 'Sound Mixer': 'David J. Schwartz', 'Boom Operator': 'Janek Finn Pfeffer', 'Construction Coordinator': 'Bruno F. Panacciulli', 'Special Effects Supervisor': 'Conrad V. Brink Jr.', 'Special Effects Coordinator': 'Jeff Brink', 'Thanks': 'Ken Robinson', 'Conductor': 'Curtis Green', 'Additional Music': 'Curtis Green', 'Orchestrator': 'Jeff Kryka', 'Visual Effects Producer': 'Jeremy Beadell'}","['Cailey Fleming', 'Ryan Reynolds', 'John Krasinski', 'Fiona Shaw', 'Steve Carell', 'Phoebe Waller-Bridge', 'Louis Gossett Jr.', 'Alan Kim', 'Liza Colón-Zayas', 'Bobby Moynihan', 'Catharine Daddario', 'Audrey Hoffman', 'Laquet Sharnell Pringle', 'Ed Herbstman', 'Barbara Andres', 'Alexander Rivero', 'Shauna Pinkett', ""Sa'Raya Paris Johnson"", 'Marta Siteiya Moipei', 'David Weissmann', 'Awkwafina', 'Emily Blunt', 'George Clooney', 'Bradley Cooper', 'Matt Damon', 'Bill Hader', 'Richard Jenkins', 'Keegan-Michael Key', 'Blake Lively', 'Sebastian Maniscalco', 'Christopher Meloni', 'Matthew Rhys', 'Sam Rockwell', 'Maya Rudolph', 'Amy Schumer', 'Allyson Seeger', 'Jon Stewart', 'Brad Pitt']"
1012201,0,"['Production I.G', 'TOHO', 'Shueisha', 'MBS', 'dentsu', 'Sony Music Entertainment', 'movic']",['Japan'],76745015,['Japanese'],"['Animation', 'Drama']",85,"Let's play a game that can't be ""repeated.""","{'Director': 'Susumu Mitsunaka', 'Screenplay': 'Susumu Mitsunaka', 'Assistant Director': 'Mariko Ishikawa', 'Character Designer': 'Takahiro Kishida', 'Art Direction': 'Ichiro Tatsuta', 'Color Designer': 'Mayumi Sato', 'Supervising Animation Director': 'Takahiro Chiba', 'Theme Song Performance': 'SPYAIR', 'Lead Animator': 'Hideki Takahashi', 'Art Designer': 'Ichiro Tatsuta', 'Director of Photography': 'Yumiko Nakata', 'Editor': 'Junichi Uematsu', 'Original Music Composer': 'Asami Tachibana', 'Sound Director': 'Hiromi Kikuta', 'Sound Effects': 'Kosuke Ogata', 'Sound Mixer': 'Haru Yamada', 'Executive Producer': 'Makoto Oyoshi', 'Producer': 'Fumi Miura', 'Associate Producer': 'Riki Azuma', 'Co-Executive Producer': 'Ryu Takahashi', 'Key Animation': 'Takeshi Inamura', 'Storyboard Artist': 'Shinsaku Sasaki', 'Animation Director': 'Takahiro Chiba', 'Original Story': 'Haruichi Furudate'}","['Ayumu Murase', 'Kaito Ishikawa', 'Yuki Kaji', 'Yuichi Nakamura', 'Koki Uchiyama', 'Satoshi Hino', 'Yuu Hayashi', 'Nobuhiko Okamoto', 'Miyu Irino', 'Yoshimasa Hosoya', 'Soma Saito', 'Toshiki Masuda', 'Koutaro Nishiyama', 'Shinnosuke Tachibana', 'Mark Ishii', 'Takanori Hoshino', 'Seigo Yokota', 'Ryuichi Sawada', 'Kyousuke Ikeda', 'Takumi Watanabe', 'Fumiyoshi Shioya', 'Hisao Egawa', 'Nobuaki Fukuda', 'Hiroshi Kamiya', 'Kanehira Yamamoto', 'Hiroshi Naka', 'Kaori Nazuka', 'Sumire Morohoshi', 'Mao Ichimichi', 'Miyu Tomita', 'Yuka Komatsu']"
573435,0,"['Westbrook Studios', 'Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America'],0,['English'],"['Action', 'Thriller', 'Crime']",115,Miami's finest are now its most wanted.,"{'Producer': 'Chad Oman', 'Characters': 'George Gallo', 'Director': 'Bilall Fallah', 'Executive Producer': 'Chris Bremner', 'Director of Photography': 'Robrecht Heyvaert', 'Writer': 'Will Beall', 'Stunt Double': 'Michelle Andrea Adams', 'Original Music Composer': 'Lorne Balfe', 'Stunt Driver': 'Amanda Bradley', 'Stunts': 'Steven Shelby'}","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Paola Nuñez', 'Eric Dane', 'Ioan Gruffudd', 'Jacob Scipio', 'Melanie Liburd', 'Tasha Smith', 'Tiffany Haddish', 'Joe Pantoliano', 'Rhea Seehorn', 'Dennis Greene']"
